segment_id,city_name,admin_ward,latitude,longitude,catchment_id,elevation_m,dem_source,land_use,soil_group,drainage_density_km_per_km2,storm_drain_proximity_m,storm_drain_type,rainfall_source,historical_rainfall_intensity_mm_hr,return_period_years,risk_labels,drainage_efficiency,rainfall_per_return_period,simplified_risks
SEG-00645,"Philadelphia, USA",Zone V,39.963861,-75.125059,CAT-018,65.99,Copernicus_EEA-10_v5,Roads,A,8.53,91.69999999999999,GratedInlet,LocalGauge,33.1,10,monitor,0.09201725997842503,3.31,Low Risk
SEG-00646,"Doha, Qatar",Zone II,25.324283,51.587106,CAT-039,40.23,Copernicus_GLO-30_v2023,Mixed,B,5.58,199.5,OpenChannel,ERA5,13.1,10,monitor,0.027830423940149625,1.31,Low Risk
SEG-00647,"Athens, Greece",Borough Old Town,37.961692,23.754627,CAT-027,7.94,Copernicus_GLO-30_v2023,Commercial,D,6.25,58.4,CurbInlet,Blended,20.2,5,low_lying,0.10521885521885523,4.04,Medium Risk
SEG-00648,"Ahmedabad, India",Zone IX,23.100636,72.610165,CAT-063,59.62,SRTM_1arc,Residential,B,4.5,39.8,Manhole,ERA5,21.6,2,monitor,0.11029411764705883,10.8,Low Risk
SEG-00649,"Kuala Lumpur, Malaysia",Ward D,3.215749,101.746824,CAT-086,51.92,SRTM_1arc,Roads,A,4.94,94.5,CurbInlet,ERA5,138.4,10,extreme_rain_history,0.05172774869109948,13.84,High Risk
SEG-00650,"Riyadh, Saudi Arabia",Zone VIII,24.656836,46.608665,CAT-027,16.51,Copernicus_EEA-10_v5,Green,A,3.27,221.3,CurbInlet,ERA5,17.2,2,monitor,0.014709851551956815,8.6,Low Risk
SEG-00651,"Rio de Janeiro, Brazil",Sector 15,-22.940329,-43.113132,CAT-124,9.35,SRTM_1arc,Residential,B,7.13,31.3,Manhole,ERA5,113.1,10,extreme_rain_history,0.22074303405572757,11.309999999999999,High Risk
SEG-00652,"Karachi, Pakistan",District 5,24.933147,67.016084,CAT-024,94.83,Copernicus_GLO-30_v2023,Roads,B,5.31,91.69999999999999,OpenChannel,Blended,28.9,5,monitor,0.05728155339805825,5.779999999999999,Low Risk
SEG-00653,"Barcelona, Spain",Sector 29,41.331471,2.202911,CAT-114,11.11,Copernicus_GLO-30_v2023,Commercial,B,5.46,102.2,GratedInlet,ERA5,27.8,2,monitor,0.05290697674418605,13.9,Low Risk
SEG-00654,"Accra, Ghana",Ward C,5.566433,-0.221917,CAT-032,11.47,Copernicus_GLO-90_v2022,Residential,C,4.34,39.1,OpenChannel,Blended,61.7,25,monitor,0.1082294264339152,2.468,Low Risk
SEG-00655,"Tehran, Iran",Sector 12,35.65908,51.323983,CAT-092,86.31,Copernicus_GLO-30_v2023,Water,D,6.37,183.8,CurbInlet,IMD,55.5,10,monitor,0.03446969696969697,5.55,Low Risk
SEG-00656,"San Francisco, USA",Ward K,37.716087,-122.341944,CAT-067,63.6,Copernicus_GLO-90_v2022,Residential,C,3.21,179.6,Manhole,ERA5,36.0,10,monitor,0.017774086378737543,3.6,Low Risk
SEG-00657,"Paris, France",District 12,48.733852,2.306346,CAT-062,74.7,SRTM_1arc,Roads,C,6.73,71.1,Manhole,ERA5,17.0,5,monitor,0.09334257975034675,3.4,Low Risk
SEG-00658,"Cape Town, South Africa",Borough West,-33.939786,18.361097,CAT-143,115.2,Copernicus_GLO-30_v2023,Residential,D,6.25,177.0,OpenChannel,ERA5,16.1,10,monitor,0.0351123595505618,1.61,Low Risk
SEG-00659,"Durban, South Africa",Ward F,-30.023547,31.128908,CAT-080,-3.0,SRTM_1arc,Roads,B,5.41,40.5,CurbInlet,ERA5,46.8,10,low_lying,0.13036144578313252,4.68,Medium Risk
SEG-00660,"Sao Paulo, Brazil",Borough Central,-23.653911,-46.666966,CAT-106,77.69,Copernicus_GLO-90_v2022,Residential,B,5.33,91.69999999999999,CurbInlet,ERA5,37.9,2,monitor,0.0574973031283711,18.95,Low Risk
SEG-00661,"Seoul, South Korea",Ward F,37.554751,126.972007,CAT-094,-3.0,Copernicus_GLO-30_v2023,Roads,C,8.51,62.5,GratedInlet,ERA5,70.3,50,ponding_hotspot|low_lying|event_2022-12-18,0.13401574803149605,1.406,High Risk
SEG-00662,"Shenzhen, China",Zone IX,22.598464,113.977979,CAT-156,9.57,Copernicus_EEA-10_v5,Residential,B,4.86,69.2,Manhole,IMD,44.7,50,monitor,0.06923076923076923,0.894,Low Risk
SEG-00663,"Mumbai, India",Zone X,19.080762,72.795554,CAT-079,-2.8,Copernicus_GLO-30_v2023,Residential,D,4.08,141.6,Manhole,LocalGauge,41.5,25,ponding_hotspot|low_lying,0.028611500701262275,1.66,High Risk
SEG-00664,"Cape Town, South Africa",Zone VI,-33.827695,18.397607,CAT-076,25.130000000000003,SRTM_1arc,Roads,C,8.04,28.8,Manhole,LocalGauge,49.5,25,monitor,0.2697986577181208,1.98,Low Risk
SEG-00665,"Amsterdam, Netherlands",District 7,52.318933,5.087657,CAT-122,18.79,Copernicus_GLO-30_v2023,Commercial,B,6.25,85.6,CurbInlet,IMD,40.8,5,monitor,0.07217090069284066,8.16,Low Risk
SEG-00666,"Rome, Italy",Ward E,42.032416,12.493229,CAT-017,41.3,SRTM_1arc,Institutional,B,3.01,184.3,CurbInlet,ERA5,37.1,50,monitor,0.016243928764166214,0.742,Low Risk
SEG-00667,"Tokyo, Japan",District 17,35.672686,139.679858,CAT-180,25.71,SRTM_1arc,Industrial,A,4.98,16.5,OpenChannel,Blended,25.6,10,monitor,0.2845714285714286,2.56,Low Risk
SEG-00668,"Montreal, Canada",Zone V,45.509106,-73.484677,CAT-049,75.53,SRTM_1arc,Commercial,B,7.97,138.1,CurbInlet,ERA5,56.3,5,monitor,0.057296908698777856,11.26,Low Risk
SEG-00669,"Seoul, South Korea",Sector 22,37.633209,126.948871,CAT-140,54.21,SRTM_1arc,Industrial,B,6.25,61.4,CurbInlet,ERA5,53.8,2,monitor,0.10016025641025642,26.9,Low Risk
SEG-00670,"Tokyo, Japan",Zone VI,35.62683,139.53682,CAT-062,-3.0,Copernicus_EEA-10_v5,Residential,A,6.41,111.0,Manhole,ERA5,33.9,5,low_lying,0.057232142857142856,6.779999999999999,Medium Risk
SEG-00671,"Kolkata, India",Ward A,22.57244,88.30154,CAT-026,10.16,SRTM_3arc,Commercial,B,10.15,89.1,CurbInlet,Blended,55.2,10,monitor,0.11265260821309657,5.5200000000000005,Low Risk
SEG-00672,"Nairobi, Kenya",Borough East,-1.319528,36.823379,CAT-172,53.02,SRTM_1arc,Commercial,C,5.2,26.6,CurbInlet,IMD,17.8,50,monitor,0.18840579710144928,0.35600000000000004,Low Risk
SEG-00673,"Chennai, India",Ward C,13.113856,80.371556,CAT-104,6.88,SRTM_3arc,Residential,B,5.16,51.8,GratedInlet,Blended,70.3,10,low_lying,0.09772727272727273,7.029999999999999,Medium Risk
SEG-00674,"Bangkok, Thailand",Borough West,13.873456,100.35958,CAT-030,0.56,Copernicus_EEA-10_v5,Commercial,B,8.26,365.9,OpenChannel,IMD,69.3,50,low_lying,0.022512946306895612,1.386,Medium Risk
SEG-00675,"Rotterdam, Netherlands",Sector 28,51.951031,4.387465,CAT-015,-0.06,SRTM_1arc,Green,D,5.57,276.0,Manhole,ERA5,21.5,10,low_lying,0.020108303249097473,2.15,Medium Risk
SEG-00676,"Houston, USA",District 22,29.918555,-95.299258,CAT-162,42.01,SRTM_3arc,Green,D,4.78,107.5,CurbInlet,ERA5,50.2,10,monitor,0.044055299539170506,5.0200000000000005,Low Risk
SEG-00677,"Ho Chi Minh City, Vietnam",Sector 17,10.83953,106.659697,CAT-104,63.85,Copernicus_GLO-30_v2023,Roads,C,6.25,388.0,OpenChannel,ERA5,54.9,50,monitor,0.016066838046272493,1.0979999999999999,Low Risk
SEG-00678,"Tehran, Iran",Sector 4,35.620812,51.37742,CAT-140,152.65,SRTM_1arc,Residential,A,8.46,63.1,Manhole,ERA5,12.8,5,monitor,0.13198127925117006,2.56,Low Risk
SEG-00679,"Pune, India",Borough West,18.652679,73.99192,CAT-180,27.19,SRTM_1arc,Industrial,B,5.57,305.3,OpenChannel,ERA5,59.4,5,monitor,0.018184786157362062,11.879999999999999,Low Risk
SEG-00680,"Manila, Philippines",Sector 19,14.533617,120.898454,CAT-069,15.02,Copernicus_GLO-30_v2023,Residential,B,7.6,62.9,Manhole,LocalGauge,50.5,100,monitor,0.1189358372456964,0.505,Low Risk
SEG-00681,"Dhaka, Bangladesh",Sector 15,23.660339,90.451229,CAT-068,40.64,SRTM_1arc,Residential,C,3.38,405.7,OpenChannel,ERA5,68.5,10,monitor,0.008310794197196951,6.85,Low Risk
SEG-00682,"Karachi, Pakistan",Sector 23,24.914301,66.882778,CAT-130,9.2,SRTM_1arc,Commercial,A,9.14,217.9,OpenChannel,LocalGauge,35.1,5,monitor,0.04175422567382366,7.0200000000000005,Low Risk
SEG-00683,"Tehran, Iran",Borough Hillside,35.73631,51.363667,CAT-032,253.88,Copernicus_GLO-30_v2023,Industrial,C,9.79,530.4,CurbInlet,Blended,34.3,2,monitor,0.01842303349642454,17.15,Low Risk
SEG-00684,"Montreal, Canada",Sector 12,45.487647,-73.753286,CAT-099,81.28,SRTM_1arc,Commercial,B,5.49,96.5,Manhole,IMD,28.6,10,monitor,0.05630769230769231,2.8600000000000003,Low Risk
SEG-00685,"Amsterdam, Netherlands",District 26,52.379491,4.881455,CAT-067,15.59,Copernicus_GLO-30_v2023,Industrial,B,6.26,38.8,GratedInlet,IMD,25.7,5,monitor,0.157286432160804,5.14,Low Risk
SEG-00686,"Karachi, Pakistan",Zone VII,24.882304,67.010255,CAT-023,2.7,SRTM_1arc,Roads,C,3.87,81.6,CurbInlet,ERA5,23.9,10,low_lying,0.04685230024213075,2.3899999999999997,Medium Risk
SEG-00687,"Istanbul, Türkiye",District 2,41.040132,29.006163,CAT-116,25.130000000000003,Copernicus_GLO-30_v2023,Industrial,C,6.84,33.4,Manhole,LocalGauge,26.5,25,monitor,0.1988372093023256,1.06,Low Risk
SEG-00688,"Durban, South Africa",District 29,-29.821433,31.066605,CAT-075,59.62,SRTM_3arc,Roads,C,7.18,110.3,Manhole,IMD,24.3,5,monitor,0.06451033243486073,4.86,Low Risk
SEG-00689,"Singapore, Singapore",Borough Old Town,1.348403,103.908228,CAT-170,13.22,Copernicus_EEA-10_v5,Mixed,C,5.97,68.9,GratedInlet,ERA5,42.6,10,monitor,0.0854077253218884,4.26,Low Risk
SEG-00690,"Taipei, Taiwan",Ward G,25.074434,121.446602,CAT-083,61.21,SRTM_3arc,Commercial,C,7.61,61.0,GratedInlet,IMD,53.2,10,monitor,0.12274193548387097,5.32,Low Risk
SEG-00691,"Seoul, South Korea",Ward K,37.580087,126.995149,CAT-046,25.130000000000003,Copernicus_GLO-30_v2023,Roads,B,5.29,189.2,GratedInlet,ERA5,59.9,10,monitor,0.027812828601472137,5.99,Low Risk
SEG-00692,"Tehran, Iran",Borough North,35.758658,51.446085,CAT-108,-3.0,Copernicus_EEA-10_v5,Green,A,6.25,491.4,CurbInlet,Blended,41.3,10,low_lying,0.012692932575142162,4.13,Medium Risk
SEG-00693,"Riyadh, Saudi Arabia",Borough Delta,24.644576,46.611099,CAT-103,57.61,SRTM_1arc,Residential,D,7.08,155.2,CurbInlet,Blended,34.5,2,monitor,0.04532650448143406,17.25,Low Risk
SEG-00694,"Durban, South Africa",District 8,-29.815039,31.04753,CAT-031,119.77,Copernicus_GLO-30_v2023,Residential,B,5.78,59.6,Manhole,ERA5,41.6,2,monitor,0.09537953795379538,20.8,Low Risk
SEG-00695,"Hyderabad, India",Ward H,17.331043,78.565398,CAT-014,78.02,Copernicus_EEA-10_v5,Residential,C,4.74,79.0,Manhole,LocalGauge,19.3,2,monitor,0.059250000000000004,9.65,Low Risk
SEG-00696,"Barcelona, Spain",Ward C,41.378569,2.195392,CAT-163,-3.0,SRTM_3arc,Commercial,C,6.93,15.3,CurbInlet,LocalGauge,40.6,5,ponding_hotspot|low_lying,0.4251533742331288,8.120000000000001,High Risk
SEG-00697,"Doha, Qatar",Borough Hillside,25.367712,51.612383,CAT-099,-3.0,Copernicus_GLO-30_v2023,Commercial,B,6.93,34.3,GratedInlet,ERA5,17.6,2,low_lying,0.1963172804532578,8.8,Medium Risk
SEG-00698,"Pune, India",Sector 4,18.59539,73.877415,CAT-161,69.81,SRTM_3arc,Commercial,B,8.98,67.8,CurbInlet,ERA5,35.0,2,monitor,0.1305232558139535,17.5,Low Risk
SEG-00699,"Barcelona, Spain",Borough Hillside,41.487391,2.1067,CAT-168,19.71,Copernicus_EEA-10_v5,Green,B,5.38,121.4,CurbInlet,Blended,17.5,5,monitor,0.04395424836601307,3.5,Low Risk
SEG-00700,"Tehran, Iran",Ward F,35.644842,51.444996,CAT-138,195.41,SRTM_1arc,Residential,C,3.28,117.9,OpenChannel,IMD,20.2,10,monitor,0.02758620689655172,2.02,Low Risk
SEG-00701,"Accra, Ghana",Zone X,5.406643,-0.293439,CAT-068,21.36,Copernicus_GLO-30_v2023,Residential,B,6.03,15.8,Manhole,ERA5,31.7,5,monitor,0.35892857142857143,6.34,Low Risk
SEG-00702,"Nairobi, Kenya",Zone II,-1.251216,36.960553,CAT-066,106.5,SRTM_1arc,Roads,B,6.95,37.9,GratedInlet,ERA5,24.6,5,monitor,0.17866323907455015,4.92,Low Risk
SEG-00703,"Shanghai, China",Zone V,31.122104,121.5664,CAT-098,14.72,SRTM_3arc,Roads,D,2.67,148.9,CurbInlet,LocalGauge,49.9,10,sparse_drainage,0.01781187458305537,4.99,Medium Risk
SEG-00704,"Houston, USA",Ward K,29.8199,-95.298084,CAT-108,-3.0,Copernicus_GLO-30_v2023,Industrial,A,7.32,32.6,Manhole,ERA5,61.2,25,low_lying,0.21785714285714286,2.448,Medium Risk
SEG-00705,"Sao Paulo, Brazil",Sector 21,-23.572479,-46.531559,CAT-090,46.02,Copernicus_GLO-30_v2023,Residential,A,6.25,57.6,CurbInlet,Blended,42.2,100,monitor,0.10665529010238907,0.42200000000000004,Low Risk
SEG-00706,"Shenzhen, China",Borough Riverside,22.683999,114.045831,CAT-153,2.84,Copernicus_GLO-30_v2023,Roads,C,4.05,91.69999999999999,Manhole,ERA5,72.8,100,ponding_hotspot|low_lying|event_2025-04-29,0.043689320388349516,0.728,High Risk
SEG-00707,"Shanghai, China",Borough North,31.29294,121.36865,CAT-084,1.04,Copernicus_EEA-10_v5,Residential,D,6.57,58.9,Manhole,Blended,33.5,100,ponding_hotspot|low_lying,0.10968280467445744,0.335,High Risk
SEG-00708,"Singapore, Singapore",Ward I,1.346743,103.689947,CAT-050,11.2,Copernicus_GLO-90_v2022,Roads,D,6.54,103.1,CurbInlet,LocalGauge,86.4,25,extreme_rain_history,0.0628242074927954,3.4560000000000004,High Risk
SEG-00709,"Paris, France",Zone V,48.821159,2.332728,CAT-130,65.9,SRTM_1arc,Residential,D,6.25,121.9,OpenChannel,ERA5,74.5,50,monitor,0.05085435313262815,1.49,Low Risk
SEG-00710,"Kolkata, India",District 13,22.553199,88.374015,CAT-073,9.75,Copernicus_GLO-30_v2023,Roads,C,5.86,43.5,Manhole,ERA5,34.9,2,monitor,0.13168539325842699,17.45,Low Risk
SEG-00711,"Athens, Greece",Ward A,37.995071,23.774247,CAT-059,50.78,SRTM_3arc,Commercial,B,7.52,91.69999999999999,GratedInlet,Blended,13.6,5,monitor,0.08112189859762675,2.7199999999999998,Low Risk
SEG-00712,"Tokyo, Japan",Zone X,35.654081,139.797701,CAT-046,25.130000000000003,SRTM_1arc,Industrial,C,10.18,91.69999999999999,CurbInlet,ERA5,60.5,25,monitor,0.1098166127292341,2.42,Low Risk
SEG-00713,"Durban, South Africa",Ward E,-29.857573,30.989136,CAT-019,63.37,Copernicus_GLO-90_v2022,Informal,B,5.58,91.69999999999999,CurbInlet,LocalGauge,62.6,5,monitor,0.06019417475728156,12.52,Low Risk
SEG-00714,"Bangkok, Thailand",Borough Old Town,13.727514,100.519369,CAT-066,10.42,Copernicus_GLO-30_v2023,Roads,D,7.73,35.8,CurbInlet,ERA5,64.9,2,monitor|event_2025-04-25,0.21005434782608698,32.45,Low Risk
SEG-00715,"Mexico City, Mexico",Ward I,19.491075,-99.153614,CAT-052,25.130000000000003,Copernicus_GLO-30_v2023,Industrial,C,9.32,101.2,GratedInlet,ERA5,56.7,5,monitor,0.09119373776908024,11.34,Low Risk
SEG-00716,"Kolkata, India",Borough West,22.491177,88.492678,CAT-086,48.97,Copernicus_GLO-30_v2023,Roads,D,6.25,139.3,GratedInlet,IMD,40.1,25,monitor,0.04454739843193157,1.604,Low Risk
SEG-00717,"Rotterdam, Netherlands",Sector 7,52.011402,4.516424,CAT-118,12.67,SRTM_1arc,Roads,C,6.67,60.5,Manhole,ERA5,16.2,25,monitor,0.10845528455284553,0.648,Low Risk
SEG-00718,"Hamburg, Germany",Ward F,53.488006,10.058915,CAT-074,75.66,SRTM_1arc,Residential,B,2.91,91.69999999999999,GratedInlet,ERA5,54.6,2,sparse_drainage,0.03139158576051781,27.3,Medium Risk
SEG-00719,"Bogotá, Colombia",Borough Central,4.713893,-73.922619,CAT-094,33.56,SRTM_1arc,Industrial,A,3.75,43.6,CurbInlet,ERA5,24.5,5,monitor,0.08408071748878923,4.9,Low Risk
SEG-00720,"Tokyo, Japan",Borough Delta,35.760767,139.54114,CAT-034,-3.0,Copernicus_GLO-30_v2023,Residential,C,3.91,47.1,GratedInlet,IMD,31.7,2,ponding_hotspot|low_lying,0.0812889812889813,15.85,High Risk
SEG-00721,"Rome, Italy",Zone I,41.75963,12.596604,CAT-069,96.37,SRTM_1arc,Residential,C,4.04,62.4,OpenChannel,LocalGauge,25.0,5,monitor,0.06372239747634069,5.0,Low Risk
SEG-00722,"Mexico City, Mexico",District 10,19.407587,-99.154693,CAT-070,22.5,SRTM_3arc,Residential,B,5.04,60.5,CurbInlet,ERA5,27.7,5,monitor,0.08195121951219513,5.54,Low Risk
SEG-00723,"Dubai, UAE",Zone X,25.295387,55.321834,CAT-025,76.78,Copernicus_GLO-30_v2023,Institutional,B,6.25,72.2,OpenChannel,ERA5,25.2,2,monitor,0.08538251366120218,12.6,Low Risk
SEG-00724,"Manila, Philippines",District 19,14.59167,121.025053,CAT-112,19.84,SRTM_3arc,Water,D,6.36,146.5,Manhole,ERA5,41.6,10,monitor,0.04311864406779661,4.16,Low Risk
SEG-00725,"Hanoi, Vietnam",Sector 27,21.090787,105.771564,CAT-045,64.4,Copernicus_EEA-10_v5,Residential,A,6.23,275.4,CurbInlet,ERA5,55.7,10,monitor,0.022539797395079598,5.57,Low Risk
SEG-00726,"Ahmedabad, India",Ward H,23.057006,72.535381,CAT-074,16.18,Copernicus_EEA-10_v5,Mixed,C,9.14,16.9,CurbInlet,Blended,29.2,2,monitor,0.5106145251396649,14.6,Low Risk
SEG-00727,"Lagos, Nigeria",District 26,6.642788,3.411478,CAT-093,1.38,SRTM_1arc,Residential,D,6.64,37.9,GratedInlet,IMD,85.9,25,ponding_hotspot|extreme_rain_history|low_lying|event_2023-11-14,0.17069408740359898,3.4360000000000004,High Risk
SEG-00728,"San Francisco, USA",District 24,37.871157,-122.41986,CAT-171,112.09,SRTM_1arc,Residential,C,5.8,99.6,CurbInlet,ERA5,32.0,50,monitor,0.05765407554671968,0.64,Low Risk
SEG-00729,"New Orleans, USA",Sector 10,29.89275,-90.028087,CAT-075,13.95,Copernicus_EEA-10_v5,Institutional,B,6.25,162.8,GratedInlet,IMD,33.3,100,monitor,0.03815628815628815,0.33299999999999996,Low Risk
SEG-00730,"Brisbane, Australia",District 12,-27.401379,153.077346,CAT-143,18.93,Copernicus_GLO-30_v2023,Residential,C,8.49,37.1,CurbInlet,Blended,74.4,25,monitor,0.22283464566929134,2.9760000000000004,Low Risk
SEG-00731,"Montreal, Canada",District 8,45.432819,-73.499733,CAT-055,7.3,SRTM_3arc,Residential,C,4.99,154.3,CurbInlet,ERA5,14.6,2,low_lying,0.03213135866065679,7.3,Medium Risk
SEG-00732,"Washington DC, USA",District 4,38.88906,-77.116066,CAT-042,47.84,SRTM_3arc,Residential,B,6.79,87.4,Manhole,LocalGauge,73.5,100,monitor,0.07680995475113121,0.735,Low Risk
SEG-00733,"Rome, Italy",Sector 25,41.961757,12.571678,CAT-004,47.48,Copernicus_GLO-30_v2023,Commercial,C,6.25,6.8,CurbInlet,ERA5,15.9,10,monitor,0.8012820512820513,1.59,Low Risk
SEG-00734,"Mexico City, Mexico",District 3,19.323463,-99.125343,CAT-168,15.12,SRTM_1arc,Residential,D,4.76,15.7,Manhole,LocalGauge,61.0,5,monitor,0.28502994011976046,12.2,Low Risk
SEG-00735,"Hong Kong, China",Sector 13,22.422942,114.221116,CAT-056,6.29,SRTM_3arc,Industrial,B,8.96,32.3,Manhole,ERA5,52.6,50,low_lying,0.26906906906906913,1.052,Medium Risk
SEG-00736,"Hanoi, Vietnam",Ward A,21.079542,105.87533,CAT-050,51.62,Copernicus_EEA-10_v5,Mixed,D,6.25,50.8,CurbInlet,ERA5,47.6,5,monitor,0.12065637065637067,9.52,Low Risk
SEG-00737,"Hamburg, Germany",Ward B,53.48909,10.084538,CAT-121,6.02,SRTM_1arc,Industrial,B,7.68,32.2,GratedInlet,ERA5,32.0,2,low_lying,0.23132530120481926,16.0,Medium Risk
SEG-00738,"Houston, USA",District 27,29.811292,-95.302753,CAT-112,55.01,SRTM_3arc,Green,A,6.25,261.5,OpenChannel,LocalGauge,32.6,100,monitor,0.023809523809523808,0.326,Low Risk
SEG-00739,"New Orleans, USA",Zone V,29.847539,-90.141894,CAT-091,11.7,Copernicus_GLO-90_v2022,Residential,D,4.35,91.69999999999999,GratedInlet,ERA5,38.4,5,monitor,0.046925566343042076,7.68,Low Risk
SEG-00740,"Miami, USA",Zone I,25.890284,-80.167954,CAT-176,4.3,Copernicus_GLO-30_v2023,Mixed,B,6.25,354.4,OpenChannel,ERA5,54.2,100,low_lying,0.01758581879572313,0.542,Medium Risk
SEG-00741,"Barcelona, Spain",Ward K,41.320303,2.085204,CAT-077,25.130000000000003,SRTM_1arc,Roads,B,8.45,157.1,CurbInlet,ERA5,38.3,10,monitor,0.0534471853257432,3.8299999999999996,Low Risk
SEG-00742,"Cape Town, South Africa",District 3,-33.885279,18.446892,CAT-124,-3.0,SRTM_1arc,Residential,B,5.99,128.4,CurbInlet,ERA5,17.4,25,low_lying,0.046290571870170015,0.696,Medium Risk
SEG-00743,"Delhi, India",Sector 1,28.628947,77.212775,CAT-115,89.56,Copernicus_EEA-10_v5,Institutional,C,3.31,235.3,Manhole,LocalGauge,49.1,2,monitor,0.014007617435463393,24.55,Low Risk
SEG-00744,"Washington DC, USA",Sector 30,38.991091,-77.055597,CAT-173,25.130000000000003,Copernicus_GLO-30_v2023,Roads,D,6.25,128.7,CurbInlet,IMD,39.9,10,monitor,0.0481881264456438,3.9899999999999998,Low Risk
SEG-00745,"Colombo, Sri Lanka",Borough Hillside,7.003586,79.894333,CAT-160,25.130000000000003,SRTM_3arc,Mixed,D,9.43,356.6,OpenChannel,ERA5,129.3,100,ponding_hotspot|extreme_rain_history|event_2024-03-15,0.026370246085011182,1.2930000000000001,High Risk
SEG-00746,"Colombo, Sri Lanka",Ward H,7.008992,79.798521,CAT-149,6.59,Copernicus_EEA-10_v5,Roads,A,9.16,78.1,CurbInlet,Blended,71.6,10,low_lying,0.11580278128950697,7.159999999999999,Medium Risk
SEG-00747,"Colombo, Sri Lanka",District 29,6.945088,79.775974,CAT-055,8.48,Copernicus_GLO-90_v2022,Green,D,3.42,91.69999999999999,CurbInlet,ERA5,63.3,5,monitor,0.03689320388349515,12.66,Low Risk
SEG-00748,"Rotterdam, Netherlands",Zone X,51.858138,4.399197,CAT-027,9.04,Copernicus_GLO-30_v2023,Residential,B,8.49,27.4,CurbInlet,ERA5,35.1,5,monitor,0.29894366197183103,7.0200000000000005,Low Risk
SEG-00749,"Cape Town, South Africa",District 5,-33.940071,18.372848,CAT-097,23.8,Copernicus_GLO-30_v2023,Green,B,4.35,274.4,CurbInlet,Blended,55.7,10,monitor,0.01579520697167756,5.57,Low Risk
SEG-00750,"Vancouver, Canada",Zone VI,49.28578,-123.149075,CAT-098,15.56,Copernicus_GLO-30_v2023,Commercial,B,5.68,91.69999999999999,Manhole,ERA5,53.1,10,monitor,0.06127292340884574,5.3100000000000005,Low Risk
SEG-00751,"Hamburg, Germany",District 30,53.537167,10.10649,CAT-098,79.62,SRTM_3arc,Green,A,2.96,184.6,OpenChannel,Blended,32.1,10,sparse_drainage|event_2022-07-18,0.015948275862068966,3.21,Medium Risk
SEG-00752,"Rome, Italy",District 7,41.890968,12.557779,CAT-058,46.83,Copernicus_EEA-10_v5,Roads,D,10.45,51.5,Manhole,LocalGauge,63.4,25,monitor,0.19904761904761903,2.536,Low Risk
SEG-00753,"Montreal, Canada",Borough South,45.483509,-73.597431,CAT-036,51.85,SRTM_1arc,Roads,C,7.32,36.9,Manhole,ERA5,29.1,5,monitor,0.19313984168865436,5.82,Low Risk
SEG-00754,"Delhi, India",Sector 17,28.538543,77.194478,CAT-100,35.82,SRTM_3arc,Residential,D,7.58,157.6,CurbInlet,ERA5,74.5,5,monitor,0.04779319041614124,14.9,Low Risk
SEG-00755,"Durban, South Africa",Ward C,-29.771723,30.974719,CAT-058,72.82,SRTM_1arc,Commercial,C,7.08,75.6,Manhole,ERA5,26.5,2,monitor,0.09242819843342037,13.25,Low Risk
SEG-00756,"Kuala Lumpur, Malaysia",Ward I,3.129055,101.770517,CAT-014,9.86,SRTM_1arc,Roads,B,10.19,60.5,GratedInlet,ERA5,87.8,50,extreme_rain_history|event_2024-07-25,0.1656910569105691,1.756,High Risk
SEG-00757,"Brisbane, Australia",Zone VII,-27.507908,153.011252,CAT-108,10.72,Copernicus_EEA-10_v5,Residential,B,7.99,163.6,CurbInlet,LocalGauge,27.6,2,monitor,0.04854191980558931,13.8,Low Risk
SEG-00758,"Manila, Philippines",Zone I,14.506927,121.040289,CAT-173,23.56,SRTM_1arc,Green,C,4.46,369.8,OpenChannel,ERA5,95.9,10,extreme_rain_history,0.012028047464940668,9.59,High Risk
SEG-00759,"Hamburg, Germany",Sector 2,53.458456,10.003259,CAT-138,42.17,Copernicus_GLO-90_v2022,Commercial,C,5.94,56.6,GratedInlet,ERA5,37.8,10,monitor,0.10312500000000001,3.78,Low Risk
SEG-00760,"Shenzhen, China",Sector 9,22.606117,114.095235,CAT-117,1.72,Copernicus_GLO-30_v2023,Commercial,B,5.97,24.2,Manhole,LocalGauge,69.5,2,low_lying|event_2024-01-09,0.2369047619047619,34.75,Medium Risk
SEG-00761,"Ho Chi Minh City, Vietnam",Zone III,10.849732,106.662603,CAT-036,25.130000000000003,Copernicus_GLO-30_v2023,Residential,B,2.81,87.0,Manhole,ERA5,37.4,2,sparse_drainage,0.03193181818181818,18.7,Medium Risk
SEG-00762,"Bengaluru, India",Ward F,12.990622,77.593824,CAT-166,25.130000000000003,SRTM_1arc,Commercial,D,5.91,75.9,Manhole,ERA5,27.0,2,monitor,0.07685305591677503,13.5,Low Risk
SEG-00763,"Vancouver, Canada",Zone IX,49.279911,-123.109501,CAT-129,11.8,SRTM_3arc,Roads,C,9.48,90.4,Manhole,ERA5,11.9,25,monitor,0.1037199124726477,0.47600000000000003,Low Risk
SEG-00764,"New Orleans, USA",Zone VI,29.922575,-90.133756,CAT-096,12.75,Copernicus_EEA-10_v5,Green,A,2.28,29.2,CurbInlet,ERA5,20.9,100,sparse_drainage|event_2024-09-03,0.07549668874172184,0.209,Medium Risk
