city_name,latitude,longitude,elevation_m,land_use,soil_group,drainage_density_km_per_km2,storm_drain_proximity_m,storm_drain_type,historical_rainfall_intensity_mm_hr,return_period_years,drainage_efficiency,rainfall_per_return_period,simplified_risks
"Shanghai, China",31.231464,121.511649,20.15,Green,C,6.92,173.1,Manhole,21.8,10,0.039747271682940837,2.18,Low Risk
"Ho Chi Minh City, Vietnam",10.810168,106.74245,55.51,Commercial,C,8.08,20.2,CurbInlet,60.7,10,0.38113207547169814,6.07,Low Risk
"Doha, Qatar",25.26908,51.454484,-3.0,Commercial,C,8.23,29.7,CurbInlet,11.1,5,0.2680781758957655,2.2199999999999998,Medium Risk
"Lagos, Nigeria",6.543747,3.404901,13.3,Mixed,C,7.11,263.3,OpenChannel,30.5,5,0.026901248581157774,6.1,Low Risk
"Karachi, Pakistan",24.766211,66.949411,153.18,Commercial,A,5.97,69.8,GratedInlet,37.6,5,0.08432203389830509,7.5200000000000005,Low Risk
"Hanoi, Vietnam",20.912104,105.867921,19.06,Commercial,D,8.93,7.1,Manhole,75.3,10,1.1024691358024692,7.529999999999999,Low Risk
"Accra, Ghana",5.533865,-0.17985,4.25,Residential,B,8.11,68.5,Manhole,52.7,5,0.11669064748201438,10.540000000000001,Medium Risk
"Karachi, Pakistan",24.884091,66.979347,25.130000000000003,Commercial,B,10.38,29.8,CurbInlet,32.2,5,0.33701298701298704,6.44,Low Risk
"Pune, India",18.534222,73.866687,88.87,Industrial,C,4.19,96.5,Manhole,61.1,5,0.04297435897435898,12.22,Low Risk
"Rotterdam, Netherlands",51.881245,4.365565,3.05,Commercial,D,4.46,301.6,OpenChannel,27.5,5,0.014738929279576998,5.5,Medium Risk
"Kuala Lumpur, Malaysia",3.14246,101.595691,25.130000000000003,Residential,B,6.01,224.0,OpenChannel,37.8,5,0.02671111111111111,7.56,Low Risk
"Bogotá, Colombia",4.813303,-74.109123,-3.0,Roads,C,8.05,31.4,OpenChannel,74.6,10,0.2484567901234568,7.459999999999999,High Risk
"Lagos, Nigeria",6.508141,3.298996,8.5,Institutional,C,5.61,428.5,OpenChannel,59.1,5,0.013061699650756695,11.82,Low Risk
"Mexico City, Mexico",19.271991,-99.149248,29.67,Green,C,6.25,138.8,CurbInlet,52.8,10,0.044706723891273246,5.279999999999999,Low Risk
"Rio de Janeiro, Brazil",-22.904297,-43.189026,4.83,Industrial,C,7.89,35.4,CurbInlet,60.8,5,0.21675824175824177,12.16,Medium Risk
"New York, USA",40.754127,-74.01989,43.08,Commercial,C,8.24,1.1,Manhole,26.2,10,3.9238095238095236,2.62,Low Risk
"Lima, Peru",-12.123887,-77.002131,-3.0,Commercial,B,7.33,113.2,GratedInlet,39.7,5,0.06418563922942207,7.94,Medium Risk
"Philadelphia, USA",39.948152,-75.208126,8.68,Residential,D,7.66,168.4,CurbInlet,48.6,10,0.045218417945690675,4.86,Low Risk
"Mexico City, Mexico",19.474703,-99.216335,6.02,Commercial,D,6.25,74.1,GratedInlet,36.0,5,0.08322237017310254,7.2,Medium Risk
"Auckland, New Zealand",-36.845287,174.804366,-3.0,Industrial,B,6.59,91.69999999999999,GratedInlet,49.5,25,0.07108953613807983,1.98,Medium Risk
"Rio de Janeiro, Brazil",-22.836778,-43.136778,6.21,Commercial,B,7.6,18.9,Manhole,114.3,25,0.38190954773869346,4.572,High Risk
"Colombo, Sri Lanka",6.916385,79.909313,13.54,Residential,B,8.03,91.69999999999999,Manhole,42.0,25,0.0866235167206041,1.68,Low Risk
"Bogotá, Colombia",4.779081,-73.966649,162.64,Institutional,D,6.93,91.69999999999999,GratedInlet,30.7,50,0.07475728155339806,0.614,Low Risk
"Barcelona, Spain",41.249273,2.106402,15.9,Commercial,B,5.35,64.9,GratedInlet,28.4,100,0.08118361153262518,0.284,Low Risk
"New Orleans, USA",29.797916,-90.173499,5.78,Green,C,1.61,91.69999999999999,Manhole,20.4,10,0.01736785329018339,2.04,Medium Risk
"Rome, Italy",41.90263,12.603663,17.51,Residential,A,3.09,97.1,Manhole,55.3,2,0.03149847094801223,27.65,Low Risk
"Sydney, Australia",-33.781413,151.287487,10.54,Roads,D,9.32,18.8,GratedInlet,27.4,10,0.4707070707070707,2.7399999999999998,Low Risk
"Hamburg, Germany",53.572863,10.003167,85.39,Commercial,B,4.49,236.8,OpenChannel,44.8,2,0.018881412952060556,22.4,Low Risk
"Montreal, Canada",45.404999,-73.668635,20.34,Commercial,B,6.14,90.2,Manhole,31.5,10,0.06732456140350877,3.15,Low Risk
"San Francisco, USA",37.74768,-122.4196,51.19,Commercial,A,9.18,6.4,CurbInlet,66.6,5,1.2405405405405405,13.319999999999999,Low Risk
"Ahmedabad, India",22.868325,72.681198,16.6,Commercial,B,5.45,91.69999999999999,Manhole,44.8,5,0.05879180151024812,8.959999999999999,Low Risk
"Washington DC, USA",38.868676,-76.914202,50.0,Commercial,B,6.25,262.4,CurbInlet,30.8,25,0.02372817008352316,1.232,Low Risk
"Sydney, Australia",-33.844943,151.206241,11.09,Residential,D,4.96,95.6,CurbInlet,25.4,2,0.05134575569358178,12.7,Low Risk
"Taipei, Taiwan",24.982903,121.51752,66.0,Residential,C,6.13,91.69999999999999,GratedInlet,39.3,2,0.06612729234088457,19.65,Low Risk
"Ahmedabad, India",22.960969,72.685001,108.51,Roads,B,5.83,91.69999999999999,Manhole,19.0,25,0.06289104638619203,0.76,Low Risk
"Delhi, India",28.514671,77.269901,5.1,Roads,C,10.31,76.2,Manhole,22.8,5,0.13354922279792747,4.5600000000000005,Medium Risk
"Miami, USA",25.678838,-80.202161,6.44,Industrial,B,6.92,7.3,Manhole,56.2,2,0.8337349397590361,28.1,Medium Risk
"Durban, South Africa",-29.920951,30.815061,25.6,Industrial,B,4.42,95.2,Manhole,20.7,50,0.04594594594594594,0.414,Low Risk
"Bengaluru, India",12.951546,77.590592,23.83,Industrial,A,6.89,67.1,Manhole,12.8,2,0.10117474302496329,6.4,Low Risk
"Sao Paulo, Brazil",-23.568287,-46.594212,89.76,Roads,A,7.43,48.6,CurbInlet,71.9,5,0.14979838709677418,14.38,Low Risk
"Rome, Italy",41.953993,12.477547,3.13,Industrial,C,7.21,91.69999999999999,Manhole,30.7,2,0.07777777777777779,15.35,Medium Risk
"Dhaka, Bangladesh",23.757532,90.45494,87.97,Industrial,B,6.25,227.1,OpenChannel,60.3,10,0.02740026304252521,6.029999999999999,Low Risk
"Seoul, South Korea",37.556529,126.903643,56.08,Residential,D,7.91,114.2,OpenChannel,14.8,50,0.06866319444444445,0.29600000000000004,Low Risk
"Copenhagen, Denmark",55.603629,12.561082,57.29,Roads,B,4.33,82.4,OpenChannel,27.9,5,0.05191846522781774,5.58,Low Risk
"Ho Chi Minh City, Vietnam",10.747546,106.631158,-3.0,Commercial,D,8.58,51.5,Manhole,37.6,2,0.16342857142857142,18.8,High Risk
"Bengaluru, India",12.925997,77.557958,77.8,Roads,C,10.38,124.8,Manhole,49.1,5,0.08251192368839429,9.82,Low Risk
"Mexico City, Mexico",19.393113,-99.061427,49.8,Residential,B,2.56,38.1,CurbInlet,16.7,2,0.06547314578005115,8.35,Medium Risk
"Philadelphia, USA",39.925268,-75.054709,64.94,Roads,B,10.06,259.5,OpenChannel,19.5,5,0.03861804222648753,3.9,Low Risk
"Tokyo, Japan",35.620389,139.643584,0.07,Residential,C,3.43,20.8,CurbInlet,33.5,2,0.1573394495412844,16.75,High Risk
"Hanoi, Vietnam",21.006476,105.942706,113.21,Industrial,D,8.24,81.9,Manhole,31.5,100,0.0993968636911942,0.315,Low Risk
"Dubai, UAE",25.122588,55.39583,36.63,Roads,C,8.43,23.4,CurbInlet,6.8,10,0.34549180327868856,0.6799999999999999,Low Risk
"Houston, USA",29.730955,-95.322082,86.6,Residential,D,3.27,395.8,OpenChannel,41.1,10,0.00824092741935484,4.11,Low Risk
"Dhaka, Bangladesh",23.923904,90.468239,26.17,Industrial,B,6.25,140.8,Manhole,36.1,2,0.04407616361071932,18.05,Low Risk
"Hamburg, Germany",53.501197,10.048665,21.39,Roads,C,4.08,447.1,CurbInlet,40.8,5,0.009105110466413747,8.16,Low Risk
"Copenhagen, Denmark",55.77711,12.547938,0.43,Roads,A,6.25,92.1,Manhole,16.2,10,0.06713211600429646,1.6199999999999999,Medium Risk
"Dhaka, Bangladesh",23.792503,90.411199,25.130000000000003,Commercial,B,9.18,12.7,GratedInlet,51.4,10,0.67007299270073,5.14,Low Risk
"Rome, Italy",41.857669,12.587619,27.84,Informal,D,9.42,463.5,CurbInlet,56.9,25,0.020279870828848225,2.276,Low Risk
"Paris, France",48.866111,2.290553,78.32,Green,B,5.49,27.5,CurbInlet,57.6,10,0.19263157894736843,5.76,Low Risk
"Delhi, India",28.569599,77.120234,35.69,Residential,C,4.59,38.1,CurbInlet,35.2,2,0.11739130434782608,17.6,Low Risk
"Bengaluru, India",13.011788,77.531957,56.03,Commercial,B,6.48,360.6,OpenChannel,46.7,5,0.017920353982300886,9.34,Low Risk
"Hanoi, Vietnam",21.128703,105.855087,-0.36,Green,D,4.47,462.7,OpenChannel,55.1,50,0.00963985335346129,1.102,High Risk
"Hamburg, Germany",53.625213,10.029828,17.3,Residential,B,3.35,231.3,OpenChannel,45.1,5,0.014421007318123116,9.02,Low Risk
"Rio de Janeiro, Brazil",-22.827474,-43.151841,7.9,Commercial,C,9.1,161.2,OpenChannel,55.5,5,0.056103575832305796,11.1,Medium Risk
"Lagos, Nigeria",6.616109,3.350403,-3.0,Industrial,D,3.97,126.3,CurbInlet,88.8,25,0.031186174391201887,3.552,High Risk
"Accra, Ghana",5.593634,-0.182098,5.71,Roads,D,10.1,91.69999999999999,CurbInlet,65.3,10,0.10895361380798275,6.529999999999999,Medium Risk
"Auckland, New Zealand",-36.929847,174.763748,61.1,Residential,B,4.11,283.8,OpenChannel,40.1,2,0.014431179775280899,20.05,Low Risk
"New Orleans, USA",29.880213,-89.982476,12.5,Residential,A,5.33,79.0,Manhole,22.3,10,0.066625,2.23,Low Risk
"San Francisco, USA",37.695517,-122.400306,-3.0,Residential,B,8.47,38.4,GratedInlet,50.3,50,0.2149746192893401,1.006,Medium Risk
"San Francisco, USA",37.655403,-122.424232,58.9,Roads,A,7.87,146.0,OpenChannel,30.1,2,0.053537414965986393,15.05,Low Risk
"Colombo, Sri Lanka",6.965006,79.861194,13.19,Residential,D,4.02,88.5,Manhole,72.3,10,0.04491620111731843,7.2299999999999995,Low Risk
"New York, USA",40.663617,-73.940983,38.12,Industrial,B,4.86,87.2,CurbInlet,18.8,10,0.05510204081632653,1.8800000000000001,Low Risk
"Rome, Italy",42.009736,12.572159,14.7,Water,C,4.34,301.4,GratedInlet,20.6,10,0.014351851851851852,2.06,Low Risk
"Chennai, India",13.120171,80.39711,4.96,Industrial,A,7.08,205.0,CurbInlet,40.3,25,0.034368932038834954,1.6119999999999999,Medium Risk
"Ahmedabad, India",23.052291,72.461573,60.3,Residential,C,3.95,186.7,GratedInlet,57.5,25,0.021044219499200854,2.3,Low Risk
"Karachi, Pakistan",24.830144,67.025476,-3.0,Water,A,6.74,147.5,GratedInlet,27.4,2,0.045387205387205386,13.7,Medium Risk
"Barcelona, Spain",41.211432,2.109194,10.29,Green,C,2.92,104.3,OpenChannel,43.4,25,0.027730294396961064,1.736,Medium Risk
"Osaka, Japan",34.547845,135.516497,87.14,Commercial,A,7.98,29.7,GratedInlet,24.9,25,0.25993485342019546,0.996,Low Risk
"Houston, USA",29.653301,-95.425304,71.28,Residential,B,5.94,52.5,Manhole,30.7,5,0.11102803738317758,6.14,Low Risk
"Shenzhen, China",22.45687,114.213275,-3.0,Commercial,D,9.55,40.1,GratedInlet,96.0,2,0.232360097323601,48.0,High Risk
"Dhaka, Bangladesh",23.822366,90.352225,-3.0,Commercial,A,7.74,5.5,OpenChannel,39.5,5,1.1907692307692308,7.9,Medium Risk
"London, UK",51.545199,-0.122036,30.33,Residential,D,7.8,46.1,CurbInlet,36.5,25,0.16560509554140126,1.46,Low Risk
"Vancouver, Canada",49.192106,-123.270287,22.95,Residential,D,5.71,164.6,CurbInlet,26.4,50,0.034480676328502415,0.528,Low Risk
"Miami, USA",25.727049,-80.122735,7.34,Roads,B,6.25,47.1,GratedInlet,149.5,50,0.12993762993762994,2.99,High Risk
"Washington DC, USA",38.859685,-76.977323,30.07,Industrial,B,5.5,61.8,GratedInlet,18.6,25,0.08757961783439491,0.7440000000000001,Low Risk
"Hamburg, Germany",53.507634,9.948713,9.81,Commercial,B,4.9,30.4,GratedInlet,28.7,5,0.15605095541401276,5.74,Low Risk
"Washington DC, USA",38.876307,-77.06297,69.8,Commercial,B,4.37,68.1,OpenChannel,28.8,5,0.06324167872648337,5.76,Low Risk
"Doha, Qatar",25.371948,51.438038,79.74,Residential,D,7.27,57.4,GratedInlet,11.8,10,0.12448630136986301,1.1800000000000002,Low Risk
"Vancouver, Canada",49.197153,-123.216684,8.05,Roads,B,3.98,12.7,Manhole,74.0,100,0.2905109489051095,0.74,Low Risk
"Singapore, Singapore",1.297866,103.645443,21.73,Residential,A,6.25,205.3,OpenChannel,68.0,2,0.030295685894328645,34.0,Low Risk
"Dhaka, Bangladesh",23.723479,90.2893,120.63,Roads,C,9.66,60.4,GratedInlet,50.0,2,0.15732899022801303,25.0,Low Risk
"Bengaluru, India",12.970835,77.602844,88.37,Residential,B,2.99,138.1,Manhole,40.6,5,0.02149532710280374,8.120000000000001,Medium Risk
"Delhi, India",28.530066,77.246917,-3.0,Roads,D,4.87,85.9,Manhole,21.6,25,0.05604142692750287,0.8640000000000001,High Risk
"Philadelphia, USA",39.963861,-75.125059,65.99,Roads,A,8.53,91.69999999999999,GratedInlet,33.1,10,0.09201725997842503,3.31,Low Risk
"Doha, Qatar",25.324283,51.587106,40.23,Mixed,B,5.58,199.5,OpenChannel,13.1,10,0.027830423940149625,1.31,Low Risk
"Athens, Greece",37.961692,23.754627,7.94,Commercial,D,6.25,58.4,CurbInlet,20.2,5,0.10521885521885523,4.04,Medium Risk
"Ahmedabad, India",23.100636,72.610165,59.62,Residential,B,4.5,39.8,Manhole,21.6,2,0.11029411764705883,10.8,Low Risk
"Kuala Lumpur, Malaysia",3.215749,101.746824,51.92,Roads,A,4.94,94.5,CurbInlet,138.4,10,0.05172774869109948,13.84,High Risk
"Riyadh, Saudi Arabia",24.656836,46.608665,16.51,Green,A,3.27,221.3,CurbInlet,17.2,2,0.014709851551956815,8.6,Low Risk
"Rio de Janeiro, Brazil",-22.940329,-43.113132,9.35,Residential,B,7.13,31.3,Manhole,113.1,10,0.22074303405572757,11.309999999999999,High Risk
"Karachi, Pakistan",24.933147,67.016084,94.83,Roads,B,5.31,91.69999999999999,OpenChannel,28.9,5,0.05728155339805825,5.779999999999999,Low Risk
"Barcelona, Spain",41.331471,2.202911,11.11,Commercial,B,5.46,102.2,GratedInlet,27.8,2,0.05290697674418605,13.9,Low Risk
"Accra, Ghana",5.566433,-0.221917,11.47,Residential,C,4.34,39.1,OpenChannel,61.7,25,0.1082294264339152,2.468,Low Risk
"Tehran, Iran",35.65908,51.323983,86.31,Water,D,6.37,183.8,CurbInlet,55.5,10,0.03446969696969697,5.55,Low Risk
"San Francisco, USA",37.716087,-122.341944,63.6,Residential,C,3.21,179.6,Manhole,36.0,10,0.017774086378737543,3.6,Low Risk
"Paris, France",48.733852,2.306346,74.7,Roads,C,6.73,71.1,Manhole,17.0,5,0.09334257975034675,3.4,Low Risk
"Cape Town, South Africa",-33.939786,18.361097,115.2,Residential,D,6.25,177.0,OpenChannel,16.1,10,0.0351123595505618,1.61,Low Risk
"Durban, South Africa",-30.023547,31.128908,-3.0,Roads,B,5.41,40.5,CurbInlet,46.8,10,0.13036144578313252,4.68,Medium Risk
"Sao Paulo, Brazil",-23.653911,-46.666966,77.69,Residential,B,5.33,91.69999999999999,CurbInlet,37.9,2,0.0574973031283711,18.95,Low Risk
"Seoul, South Korea",37.554751,126.972007,-3.0,Roads,C,8.51,62.5,GratedInlet,70.3,50,0.13401574803149605,1.406,High Risk
"Shenzhen, China",22.598464,113.977979,9.57,Residential,B,4.86,69.2,Manhole,44.7,50,0.06923076923076923,0.894,Low Risk
"Mumbai, India",19.080762,72.795554,-2.8,Residential,D,4.08,141.6,Manhole,41.5,25,0.028611500701262275,1.66,High Risk
"Cape Town, South Africa",-33.827695,18.397607,25.130000000000003,Roads,C,8.04,28.8,Manhole,49.5,25,0.2697986577181208,1.98,Low Risk
"Amsterdam, Netherlands",52.318933,5.087657,18.79,Commercial,B,6.25,85.6,CurbInlet,40.8,5,0.07217090069284066,8.16,Low Risk
"Rome, Italy",42.032416,12.493229,41.3,Institutional,B,3.01,184.3,CurbInlet,37.1,50,0.016243928764166214,0.742,Low Risk
"Tokyo, Japan",35.672686,139.679858,25.71,Industrial,A,4.98,16.5,OpenChannel,25.6,10,0.2845714285714286,2.56,Low Risk
"Montreal, Canada",45.509106,-73.484677,75.53,Commercial,B,7.97,138.1,CurbInlet,56.3,5,0.057296908698777856,11.26,Low Risk
"Seoul, South Korea",37.633209,126.948871,54.21,Industrial,B,6.25,61.4,CurbInlet,53.8,2,0.10016025641025642,26.9,Low Risk
"Tokyo, Japan",35.62683,139.53682,-3.0,Residential,A,6.41,111.0,Manhole,33.9,5,0.057232142857142856,6.779999999999999,Medium Risk
"Kolkata, India",22.57244,88.30154,10.16,Commercial,B,10.15,89.1,CurbInlet,55.2,10,0.11265260821309657,5.5200000000000005,Low Risk
"Nairobi, Kenya",-1.319528,36.823379,53.02,Commercial,C,5.2,26.6,CurbInlet,17.8,50,0.18840579710144928,0.35600000000000004,Low Risk
"Chennai, India",13.113856,80.371556,6.88,Residential,B,5.16,51.8,GratedInlet,70.3,10,0.09772727272727273,7.029999999999999,Medium Risk
"Bangkok, Thailand",13.873456,100.35958,0.56,Commercial,B,8.26,365.9,OpenChannel,69.3,50,0.022512946306895612,1.386,Medium Risk
"Rotterdam, Netherlands",51.951031,4.387465,-0.06,Green,D,5.57,276.0,Manhole,21.5,10,0.020108303249097473,2.15,Medium Risk
"Houston, USA",29.918555,-95.299258,42.01,Green,D,4.78,107.5,CurbInlet,50.2,10,0.044055299539170506,5.0200000000000005,Low Risk
"Ho Chi Minh City, Vietnam",10.83953,106.659697,63.85,Roads,C,6.25,388.0,OpenChannel,54.9,50,0.016066838046272493,1.0979999999999999,Low Risk
"Tehran, Iran",35.620812,51.37742,152.65,Residential,A,8.46,63.1,Manhole,12.8,5,0.13198127925117006,2.56,Low Risk
"Pune, India",18.652679,73.99192,27.19,Industrial,B,5.57,305.3,OpenChannel,59.4,5,0.018184786157362062,11.879999999999999,Low Risk
"Manila, Philippines",14.533617,120.898454,15.02,Residential,B,7.6,62.9,Manhole,50.5,100,0.1189358372456964,0.505,Low Risk
"Dhaka, Bangladesh",23.660339,90.451229,40.64,Residential,C,3.38,405.7,OpenChannel,68.5,10,0.008310794197196951,6.85,Low Risk
"Karachi, Pakistan",24.914301,66.882778,9.2,Commercial,A,9.14,217.9,OpenChannel,35.1,5,0.04175422567382366,7.0200000000000005,Low Risk
"Tehran, Iran",35.73631,51.363667,253.88,Industrial,C,9.79,530.4,CurbInlet,34.3,2,0.01842303349642454,17.15,Low Risk
"Montreal, Canada",45.487647,-73.753286,81.28,Commercial,B,5.49,96.5,Manhole,28.6,10,0.05630769230769231,2.8600000000000003,Low Risk
"Amsterdam, Netherlands",52.379491,4.881455,15.59,Industrial,B,6.26,38.8,GratedInlet,25.7,5,0.157286432160804,5.14,Low Risk
"Karachi, Pakistan",24.882304,67.010255,2.7,Roads,C,3.87,81.6,CurbInlet,23.9,10,0.04685230024213075,2.3899999999999997,Medium Risk
"Istanbul, Türkiye",41.040132,29.006163,25.130000000000003,Industrial,C,6.84,33.4,Manhole,26.5,25,0.1988372093023256,1.06,Low Risk
"Durban, South Africa",-29.821433,31.066605,59.62,Roads,C,7.18,110.3,Manhole,24.3,5,0.06451033243486073,4.86,Low Risk
"Singapore, Singapore",1.348403,103.908228,13.22,Mixed,C,5.97,68.9,GratedInlet,42.6,10,0.0854077253218884,4.26,Low Risk
"Taipei, Taiwan",25.074434,121.446602,61.21,Commercial,C,7.61,61.0,GratedInlet,53.2,10,0.12274193548387097,5.32,Low Risk
"Seoul, South Korea",37.580087,126.995149,25.130000000000003,Roads,B,5.29,189.2,GratedInlet,59.9,10,0.027812828601472137,5.99,Low Risk
"Tehran, Iran",35.758658,51.446085,-3.0,Green,A,6.25,491.4,CurbInlet,41.3,10,0.012692932575142162,4.13,Medium Risk
"Riyadh, Saudi Arabia",24.644576,46.611099,57.61,Residential,D,7.08,155.2,CurbInlet,34.5,2,0.04532650448143406,17.25,Low Risk
"Durban, South Africa",-29.815039,31.04753,119.77,Residential,B,5.78,59.6,Manhole,41.6,2,0.09537953795379538,20.8,Low Risk
"Hyderabad, India",17.331043,78.565398,78.02,Residential,C,4.74,79.0,Manhole,19.3,2,0.059250000000000004,9.65,Low Risk
"Barcelona, Spain",41.378569,2.195392,-3.0,Commercial,C,6.93,15.3,CurbInlet,40.6,5,0.4251533742331288,8.120000000000001,High Risk
"Doha, Qatar",25.367712,51.612383,-3.0,Commercial,B,6.93,34.3,GratedInlet,17.6,2,0.1963172804532578,8.8,Medium Risk
"Pune, India",18.59539,73.877415,69.81,Commercial,B,8.98,67.8,CurbInlet,35.0,2,0.1305232558139535,17.5,Low Risk
"Barcelona, Spain",41.487391,2.1067,19.71,Green,B,5.38,121.4,CurbInlet,17.5,5,0.04395424836601307,3.5,Low Risk
"Tehran, Iran",35.644842,51.444996,195.41,Residential,C,3.28,117.9,OpenChannel,20.2,10,0.02758620689655172,2.02,Low Risk
"Accra, Ghana",5.406643,-0.293439,21.36,Residential,B,6.03,15.8,Manhole,31.7,5,0.35892857142857143,6.34,Low Risk
"Nairobi, Kenya",-1.251216,36.960553,106.5,Roads,B,6.95,37.9,GratedInlet,24.6,5,0.17866323907455015,4.92,Low Risk
"Shanghai, China",31.122104,121.5664,14.72,Roads,D,2.67,148.9,CurbInlet,49.9,10,0.01781187458305537,4.99,Medium Risk
"Houston, USA",29.8199,-95.298084,-3.0,Industrial,A,7.32,32.6,Manhole,61.2,25,0.21785714285714286,2.448,Medium Risk
"Sao Paulo, Brazil",-23.572479,-46.531559,46.02,Residential,A,6.25,57.6,CurbInlet,42.2,100,0.10665529010238907,0.42200000000000004,Low Risk
"Shenzhen, China",22.683999,114.045831,2.84,Roads,C,4.05,91.69999999999999,Manhole,72.8,100,0.043689320388349516,0.728,High Risk
"Shanghai, China",31.29294,121.36865,1.04,Residential,D,6.57,58.9,Manhole,33.5,100,0.10968280467445744,0.335,High Risk
"Singapore, Singapore",1.346743,103.689947,11.2,Roads,D,6.54,103.1,CurbInlet,86.4,25,0.0628242074927954,3.4560000000000004,High Risk
"Paris, France",48.821159,2.332728,65.9,Residential,D,6.25,121.9,OpenChannel,74.5,50,0.05085435313262815,1.49,Low Risk
"Kolkata, India",22.553199,88.374015,9.75,Roads,C,5.86,43.5,Manhole,34.9,2,0.13168539325842699,17.45,Low Risk
"Athens, Greece",37.995071,23.774247,50.78,Commercial,B,7.52,91.69999999999999,GratedInlet,13.6,5,0.08112189859762675,2.7199999999999998,Low Risk
"Tokyo, Japan",35.654081,139.797701,25.130000000000003,Industrial,C,10.18,91.69999999999999,CurbInlet,60.5,25,0.1098166127292341,2.42,Low Risk
"Durban, South Africa",-29.857573,30.989136,63.37,Informal,B,5.58,91.69999999999999,CurbInlet,62.6,5,0.06019417475728156,12.52,Low Risk
"Bangkok, Thailand",13.727514,100.519369,10.42,Roads,D,7.73,35.8,CurbInlet,64.9,2,0.21005434782608698,32.45,Low Risk
"Mexico City, Mexico",19.491075,-99.153614,25.130000000000003,Industrial,C,9.32,101.2,GratedInlet,56.7,5,0.09119373776908024,11.34,Low Risk
"Kolkata, India",22.491177,88.492678,48.97,Roads,D,6.25,139.3,GratedInlet,40.1,25,0.04454739843193157,1.604,Low Risk
"Rotterdam, Netherlands",52.011402,4.516424,12.67,Roads,C,6.67,60.5,Manhole,16.2,25,0.10845528455284553,0.648,Low Risk
"Hamburg, Germany",53.488006,10.058915,75.66,Residential,B,2.91,91.69999999999999,GratedInlet,54.6,2,0.03139158576051781,27.3,Medium Risk
"Bogotá, Colombia",4.713893,-73.922619,33.56,Industrial,A,3.75,43.6,CurbInlet,24.5,5,0.08408071748878923,4.9,Low Risk
"Tokyo, Japan",35.760767,139.54114,-3.0,Residential,C,3.91,47.1,GratedInlet,31.7,2,0.0812889812889813,15.85,High Risk
"Rome, Italy",41.75963,12.596604,96.37,Residential,C,4.04,62.4,OpenChannel,25.0,5,0.06372239747634069,5.0,Low Risk
"Mexico City, Mexico",19.407587,-99.154693,22.5,Residential,B,5.04,60.5,CurbInlet,27.7,5,0.08195121951219513,5.54,Low Risk
"Dubai, UAE",25.295387,55.321834,76.78,Institutional,B,6.25,72.2,OpenChannel,25.2,2,0.08538251366120218,12.6,Low Risk
"Manila, Philippines",14.59167,121.025053,19.84,Water,D,6.36,146.5,Manhole,41.6,10,0.04311864406779661,4.16,Low Risk
"Hanoi, Vietnam",21.090787,105.771564,64.4,Residential,A,6.23,275.4,CurbInlet,55.7,10,0.022539797395079598,5.57,Low Risk
"Ahmedabad, India",23.057006,72.535381,16.18,Mixed,C,9.14,16.9,CurbInlet,29.2,2,0.5106145251396649,14.6,Low Risk
"Lagos, Nigeria",6.642788,3.411478,1.38,Residential,D,6.64,37.9,GratedInlet,85.9,25,0.17069408740359898,3.4360000000000004,High Risk
"San Francisco, USA",37.871157,-122.41986,112.09,Residential,C,5.8,99.6,CurbInlet,32.0,50,0.05765407554671968,0.64,Low Risk
"New Orleans, USA",29.89275,-90.028087,13.95,Institutional,B,6.25,162.8,GratedInlet,33.3,100,0.03815628815628815,0.33299999999999996,Low Risk
"Brisbane, Australia",-27.401379,153.077346,18.93,Residential,C,8.49,37.1,CurbInlet,74.4,25,0.22283464566929134,2.9760000000000004,Low Risk
"Montreal, Canada",45.432819,-73.499733,7.3,Residential,C,4.99,154.3,CurbInlet,14.6,2,0.03213135866065679,7.3,Medium Risk
"Washington DC, USA",38.88906,-77.116066,47.84,Residential,B,6.79,87.4,Manhole,73.5,100,0.07680995475113121,0.735,Low Risk
"Rome, Italy",41.961757,12.571678,47.48,Commercial,C,6.25,6.8,CurbInlet,15.9,10,0.8012820512820513,1.59,Low Risk
"Mexico City, Mexico",19.323463,-99.125343,15.12,Residential,D,4.76,15.7,Manhole,61.0,5,0.28502994011976046,12.2,Low Risk
"Hong Kong, China",22.422942,114.221116,6.29,Industrial,B,8.96,32.3,Manhole,52.6,50,0.26906906906906913,1.052,Medium Risk
"Hanoi, Vietnam",21.079542,105.87533,51.62,Mixed,D,6.25,50.8,CurbInlet,47.6,5,0.12065637065637067,9.52,Low Risk
"Hamburg, Germany",53.48909,10.084538,6.02,Industrial,B,7.68,32.2,GratedInlet,32.0,2,0.23132530120481926,16.0,Medium Risk
"Houston, USA",29.811292,-95.302753,55.01,Green,A,6.25,261.5,OpenChannel,32.6,100,0.023809523809523808,0.326,Low Risk
"New Orleans, USA",29.847539,-90.141894,11.7,Residential,D,4.35,91.69999999999999,GratedInlet,38.4,5,0.046925566343042076,7.68,Low Risk
"Miami, USA",25.890284,-80.167954,4.3,Mixed,B,6.25,354.4,OpenChannel,54.2,100,0.01758581879572313,0.542,Medium Risk
"Barcelona, Spain",41.320303,2.085204,25.130000000000003,Roads,B,8.45,157.1,CurbInlet,38.3,10,0.0534471853257432,3.8299999999999996,Low Risk
"Cape Town, South Africa",-33.885279,18.446892,-3.0,Residential,B,5.99,128.4,CurbInlet,17.4,25,0.046290571870170015,0.696,Medium Risk
